document,dataset,compile_component,locate_component,traverse_component,NOD,DEF,OCC,LOC,gotoDefinition,rename,completion,subcontextNum
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/bx/DEF_80.java,DEF,10.720066666666668,23.772966666666665,0.6668333333333334,1253.0,80.0,723.0,611.0,27.942825,23.0948125,12.446,0.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/by/DEF_160.java,DEF,8.071266666666666,28.534466666666663,0.0,1889.0,160.0,1053.0,1011.0,29.58165,27.25695,7.9870875,0.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/bz/DEF_240.java,DEF,9.525433333333332,54.07146666666667,0.0,3294.0,240.0,2050.0,1617.0,52.6752625,49.2331625,9.6702,0.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/ca/DEF_320.java,DEF,10.236533333333332,54.4763,0.0,3753.0,320.0,2231.0,1626.0,56.6125,55.0518,8.46395,0.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cb/DEF_400.java,DEF,8.5854,16.632,0.3331,1294.0,400.0,592.0,1727.0,19.077112500000002,18.0217125,8.250225,0.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cc/DEF_480.java,DEF,7.961033333333333,84.644,0.3325666666666667,5617.0,478.0,3278.0,3107.0,78.5542125,77.852425,8.9530875,0.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cd/DEF_560.java,DEF,6.8202,101.318,0.33303333333333335,7369.0,560.0,3951.0,2357.0,101.5978125,97.63755,7.1635374999999994,0.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/ce/DEF_640.java,DEF,10.970866666666666,108.7466,0.0,7461.0,640.0,4566.0,3290.0,119.176225,110.56915000000001,8.178537500000001,0.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cf/DEF_720.java,DEF,7.546366666666667,123.91486666666667,0.0,8691.0,720.0,5267.0,3850.0,127.1566375,123.9717375,8.214175000000001,0.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cg/DEF_800.java,DEF,8.980533333333334,145.82756666666668,0.0,10085.0,800.0,6252.0,4447.0,148.7928625,149.3598,9.81905,0.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/ch/DEF_880.java,DEF,13.2588,168.6919,0.0,11327.0,880.0,6654.0,4886.0,174.8582625,170.37156249999998,9.437149999999999,0.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/ci/DEF_960.java,DEF,13.918366666666666,195.51106666666666,0.0,12950.0,960.0,7642.0,5411.0,195.8675375,205.342825,12.9673375,0.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cj/DEF_1040.java,DEF,14.965833333333334,294.0883666666667,0.0,13827.0,1040.0,8150.0,5883.0,274.1521625,296.00615,16.3832625,0.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/ck/DEF_1120.java,DEF,9.626800000000001,217.84936666666667,0.0,15466.0,1119.0,8980.0,6073.0,230.42325,230.102925,11.19285,0.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cl/DEF_1200.java,DEF,11.642233333333332,231.0266,0.0,15755.0,1200.0,9328.0,6470.0,231.71825,243.68005,12.0303,0.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cm/DEF_1280.java,DEF,15.277299999999999,251.74636666666666,0.0,16541.0,1280.0,9724.0,7011.0,261.1673875,274.97933750000004,16.9953875,0.0
file:///C:/Users/74993/Desktop/毕设/wll论文/java-language-server2/outputDir/DEF/cn/DEF_1360.java,DEF,18.436333333333334,298.0511666666667,0.0,14345.0,1360.0,8308.0,7093.0,300.7455125,307.185075,23.4168875,0.0
