target,feature,mean_importance,std_importance
compile_component,LOC,0.21128213141955748,0.11371320643504212
compile_component,OCC,0.07121870112809855,0.034389248950687734
compile_component,DEF,0.039173437777872806,0.11143320407552147
compile_component,NOD,-0.003251487321962639,0.09293639710676166
completion,LOC,0.15386961437376487,0.0832673804725077
completion,DEF,0.07825089628738689,0.14641675707020416
completion,NOD,-0.017996728676199655,0.0997862822350135
completion,OCC,-0.02025743542601882,0.058716317412170496
gotoDefinition,OCC,0.1226882082155275,0.05923951191746602
gotoDefinition,DEF,0.03534902456251522,0.11399317474768235
gotoDefinition,NOD,0.023627501213033537,0.10457087004886767
gotoDefinition,LOC,0.019169280983781158,0.07303842116026706
locate_component,OCC,0.24999834611985944,0.07284589393044802
locate_component,NOD,0.027529591937361493,0.07593039971303837
locate_component,DEF,0.023141686037571153,0.09762330340379576
locate_component,LOC,0.023117200690679608,0.09252604794959057
rename,OCC,0.1365093346751633,0.05192553906999703
rename,NOD,0.05080383563462685,0.07862101635014962
rename,DEF,0.044961167393707216,0.10304649060887729
rename,LOC,0.007808578075461444,0.05824611178192627
traverse_component,LOC,-0.05984177878009297,0.09337874892041012
traverse_component,NOD,-0.12212611617234881,0.15881852386180703
traverse_component,OCC,-0.1396979517913941,0.17040494542338253
traverse_component,DEF,-0.16687949162984708,0.1863394134837832
